iter	RMSE
0	1.086091463
1	1.028914976
2	0.9803866821
3	0.9345920764
4	0.8943931968
5	0.8572508229
6	0.8247610884
7	0.7972609157
8	0.7745373823
9	0.7541762043
10	0.7310788594
11	0.7128644776
12	0.6971663059
13	0.6838373481
14	0.6729873239
15	0.6583470577
16	0.6486666127
17	0.638401043
18	0.6269843222
19	0.6182746408
20	0.6130587874
21	0.6079176271
22	0.6020535697
23	0.5979738301
24	0.593901049
25	0.5874610948
26	0.583127251
27	0.5763855797
28	0.5708447818
29	0.5684847124
30	0.5647026364
31	0.5626294478
32	0.5577951667
33	0.5559426716
34	0.5517389913
35	0.5488095233
36	0.5471253088
37	0.5438131071
38	0.541616993
39	0.5391924877
40	0.5363767473
41	0.5334578813
42	0.531908613
43	0.5302201299
44	0.5287151088
45	0.5277134305
46	0.5261164114
47	0.5247214394
48	0.5229399293
49	0.5215989533
50	0.5197816043
51	0.5181886519
52	0.5174176856
53	0.5160489228
54	0.5142857012
55	0.5130079086
56	0.5113108216
57	0.5099432189
58	0.5091319844
59	0.5083933543
60	0.5070789093
61	0.5052487982
62	0.5034082464
63	0.5024239931
64	0.5011052768
65	0.4997832144
66	0.4984609637
67	0.4966227479
68	0.4957842205
69	0.4947927244
70	0.4941439341
71	0.4931673238
72	0.4924142001
73	0.4912693687
74	0.4906121046
75	0.4897269769
76	0.4892037195
77	0.4879034422
78	0.4868685159
79	0.4860897648
80	0.4845586995
81	0.4839777049
82	0.4833648118
83	0.4823915054
84	0.481337131
85	0.4805750233
86	0.479226784
87	0.4778086831
88	0.4769701712
89	0.475745587
90	0.4750695067
91	0.4746547089
92	0.472922785
93	0.4721985485
94	0.4715076306
95	0.470763489
96	0.4699572816
97	0.4687394517
98	0.4679100206
99	0.4671132619
100	0.4660612369
101	0.4653952535
102	0.4645990689
103	0.4633346863
104	0.4624968465
105	0.4614144859
106	0.4605215023
107	0.4599572981
108	0.4592067797
109	0.4583406958
110	0.457682072
111	0.4567724401
112	0.4560805204
113	0.4555424898
114	0.4543780258
115	0.4534752378
116	0.4522762586
117	0.4514160995
118	0.4504928134
119	0.4497366608
120	0.4491997985
121	0.4483131546
122	0.4475832173
123	0.4460967648
124	0.4454930397
125	0.4447645416
126	0.4438956328
127	0.4432752065
128	0.4426711791
129	0.4419294605
130	0.441343243
131	0.4405568499
132	0.4399490025
133	0.4393578037
134	0.4388430432
135	0.4383203745
136	0.4378199428
137	0.4372649405
138	0.4363994549
139	0.4356692148
140	0.4349496994
141	0.4343392509
142	0.4339439102
143	0.4332497048
144	0.4328274867
145	0.4322206308
146	0.4316991117
147	0.4310589173
148	0.4305627195
149	0.4298780796
150	0.4293106616
151	0.4280897211
152	0.4275768148
